batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_DE_loss,train_cons_loss,train_direction_loss,train_loss,val_loss
0.18560850620269775,25.669963836669922,0.32010960578918457,3.768826723098755,0.08493614196777344,5.387684345245361,4,849,507003.75,0.004660089500248432,0.07887513190507889,507003.84375,
0.21558333933353424,52.11516189575195,0.9372687339782715,8.28463077545166,0.11313343048095703,4.638577461242676,4,899,458023.875,0.0035846505779772997,0.09218771755695343,458023.96875,
,,,,,,5,949,328282.1875,0.0036499369889497757,0.06405740231275558,328282.25,
0.1738802045583725,33.96519470214844,0.36029601097106934,4.580379962921143,0.07866072654724121,5.751086235046387,5,999,468028.03125,0.0038924645632505417,0.08830072730779648,468028.125,
0.21443408727645874,30.438562393188477,0.4411180019378662,3.3971500396728516,0.12984943389892578,4.663437843322754,5,1049,387754.78125,0.0034896251745522022,0.07538938522338867,387754.84375,
,,,,,,6,1099,651633.3125,0.005496697966009378,0.11245109140872955,651633.4375,
0.16906581819057465,30.23868751525879,0.29436659812927246,3.098548173904419,0.0950014591217041,5.91485595703125,6,1149,516407.96875,0.00445368280634284,0.1050252914428711,516408.0625,
0.16782577335834503,31.413314819335938,0.32547426223754883,3.8313748836517334,0.08494973182678223,5.958560466766357,6,1199,413771.3125,0.003815979929640889,0.07399538159370422,413771.375,
0.18882636725902557,17.280092239379883,0.27975988388061523,2.0106685161590576,0.13913774490356445,5.295870304107666,6,1249,570601.9375,0.004898349288851023,0.0911126658320427,570602.0,
,,,,,,7,1299,440671.84375,0.0038333360571414232,0.12542088329792023,440671.96875,
0.18250364065170288,33.215885162353516,0.3418765068054199,3.586843729019165,0.09531402587890625,5.479342460632324,7,1349,548274.5,0.004807553719729185,0.11794912815093994,548274.625,
0.18825140595436096,29.547834396362305,0.36339282989501953,3.596341848373413,0.10104513168334961,5.312045574188232,7,1399,463785.6875,0.004035353194922209,0.10701021552085876,463785.78125,
0.19731590151786804,22.420177459716797,0.30768442153930664,2.71045184135437,0.11351776123046875,5.068015098571777,7,1449,389833.125,0.0038884857203811407,0.08236054331064224,389833.21875,
,,,,,,8,1499,450612.25,0.00431849854066968,0.06357212364673615,450612.3125,
0.15742455422878265,29.64476203918457,0.2833127975463867,3.151872396469116,0.08988714218139648,6.3522491455078125,8,1549,480930.0,0.004480711650103331,0.09042295813560486,480930.09375,
0.16980881989002228,31.610401153564453,0.27358198165893555,2.9715991020202637,0.09206557273864746,5.888975620269775,8,1599,386446.25,0.00366857647895813,0.07325410842895508,386446.3125,
,,,,,,9,1649,395428.21875,0.002815429586917162,0.07107790559530258,395428.28125,
0.18372315168380737,55.98243713378906,0.9507029056549072,10.693371772766113,0.08890581130981445,5.442972183227539,9,1699,493224.5625,0.00464782677590847,0.0800422728061676,493224.65625,
0.1799079030752182,22.169248580932617,0.25562024116516113,2.180835723876953,0.11721205711364746,5.558399200439453,9,1749,419862.8125,0.003321582218632102,0.09587801247835159,419862.90625,
0.19400736689567566,20.55143165588379,0.27202582359313965,3.0943357944488525,0.08791089057922363,5.154443740844727,9,1799,478760.5625,0.004128037486225367,0.07124235481023788,478760.625,
,,,,,,10,1849,446320.46875,0.0037202821113169193,0.08145391196012497,446320.5625,
0.171195387840271,33.54114532470703,0.3795483112335205,4.218738555908203,0.08996725082397461,5.841279029846191,10,1899,390330.53125,0.0033098922576755285,0.09504042565822601,390330.625,
0.13695009052753448,32.3529052734375,0.30321764945983887,3.6720659732818604,0.08257412910461426,7.3019304275512695,10,1949,580206.75,0.00457769213244319,0.10869599878787994,580206.875,
0.18621788918972015,18.87624740600586,0.28315114974975586,2.514789581298828,0.1125943660736084,5.370053291320801,10,1999,466631.9375,0.004202232230454683,0.06791182607412338,466632.0,
,,,,,,10,1999,,,,,427678.09375
,,,,,,11,2049,488879.375,0.004581353161484003,0.06930291652679443,488879.4375,
0.18188101053237915,48.540687561035156,0.8029961585998535,9.339006423950195,0.0859830379486084,5.498100280761719,11,2099,540371.5625,0.004296037834137678,0.08416445553302765,540371.625,
